"nResp","nAlt","nRand","draws","corr","eval_s","grad_pct","fit_s","rowX","matmul_elems"
300,3,3,100,FALSE,0.044,70,1.79,6000,6e+05
1000,3,3,100,FALSE,0.143,75,5.94,20000,2e+06
300,5,3,100,FALSE,0.07,76,2.99,12000,1200000
1000,5,3,100,FALSE,0.234,76,10.86,40000,4e+06
300,3,6,100,FALSE,0.065,85,4.13,6000,6e+05
1000,3,6,100,FALSE,0.229,85,12.56,20000,2e+06
300,5,6,100,FALSE,0.11,84,6.38,12000,1200000
1000,5,6,100,FALSE,0.379,82,20.89,40000,4e+06
300,3,3,500,FALSE,0.199,77,8.04,6000,3e+06
1000,3,3,500,FALSE,0.691,77,27.7,20000,1e+07
300,5,3,500,FALSE,0.338,76,13.7,12000,6e+06
1000,5,3,500,FALSE,1.149,75,53.59,40000,2e+07
300,3,6,500,FALSE,0.321,84,17.3,6000,3e+06
1000,3,6,500,FALSE,1.098,84,58.95,20000,1e+07
300,5,6,500,FALSE,0.549,84,30.75,12000,6e+06
1000,5,6,500,FALSE,1.845,83,101.89,40000,2e+07
300,3,3,2000,FALSE,0.784,77,32.96,6000,1.2e+07
1000,3,3,2000,FALSE,2.705,77,125.52,20000,4e+07
300,5,3,2000,FALSE,1.344,76,54.17,12000,2.4e+07
1000,5,3,2000,FALSE,4.677,75,254.55,40000,8e+07
300,3,6,2000,FALSE,1.24,85,70.3,6000,1.2e+07
1000,3,6,2000,FALSE,4.302,84,270.95,20000,4e+07
300,5,6,2000,FALSE,2.143,84,128.81,12000,2.4e+07
1000,5,6,2000,FALSE,0.051,82,2.56,40000,8e+07
300,3,3,100,TRUE,0.179,83,8.31,6000,6e+05
1000,3,3,100,TRUE,0.089,80,4.91,20000,2e+06
300,5,3,100,TRUE,0.299,80,15.99,12000,1200000
1000,5,3,100,TRUE,0.119,92,11.67,40000,4e+06
300,3,6,100,TRUE,0.427,92,44.84,6000,6e+05
1000,3,6,100,TRUE,0.207,91,20.37,20000,2e+06
300,5,6,100,TRUE,0.699,92,86.46,12000,1200000
1000,5,6,100,TRUE,0.252,82,12.27,40000,4e+06
300,3,3,500,TRUE,0.871,82,40.27,6000,3e+06
1000,3,3,500,TRUE,0.428,81,22.64,20000,1e+07
300,5,3,500,TRUE,1.449,81,69.58,12000,6e+06
1000,5,3,500,TRUE,0.591,92,81.29,40000,2e+07
300,3,6,500,TRUE,2.045,92,206.56,6000,3e+06
1000,3,6,500,TRUE,1.008,91,107.99,20000,1e+07
300,5,6,500,TRUE,3.397,91,477.04,12000,6e+06
1000,5,6,500,TRUE,1.006,82,45.67,40000,2e+07
