package,time_sec,numDraws,version
apollo (1 cores),4.035837888717651,50,0.3.7
apollo (5 cores),6.234586000442505,50,0.3.7
apollo (10 cores),9.65134310722351,50,0.3.7
apollo (1 cores),19.65605092048645,250,0.3.7
apollo (5 cores),16.622080087661743,250,0.3.7
apollo (10 cores),17.584208011627197,250,0.3.7
apollo (1 cores),6.213916063308716,500,0.3.7
apollo (5 cores),9.289589881896973,500,0.3.7
apollo (10 cores),11.229466915130615,500,0.3.7
apollo (1 cores),80.57130098342896,1000,0.3.7
apollo (5 cores),58.06801509857178,1000,0.3.7
apollo (10 cores),54.559678077697754,1000,0.3.7
apollo (1 cores),98.04682612419128,2000,0.3.7
apollo (5 cores),65.65819001197815,2000,0.3.7
apollo (10 cores),67.16712403297424,2000,0.3.7
